Gene1	Gene2	Protein1	Protein2
CHD6	CHD9	Chromodomain-helicase-DNA-binding protein 6 (CHD-6) (EC 3.6.4.-) (ATP-dependent helicase CHD6) (Radiation-induced gene B protein)	Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.-) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)
CHERP	ZCCHC8	Calcium homeostasis endoplasmic reticulum protein (ERPROT 213-21) (SR-related CTD-associated factor 6)	Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8)
CHGB	NRN1	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	Neuritin
CHI3L1	LTF	Chitinase-3-like protein 1 (39 kDa synovial protein) (Cartilage glycoprotein 39) (CGP-39) (GP-39) (hCGP-39) (YKL-40)	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]
CHL1	CHL1	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]
CHML	JOSD1	Rab proteins geranylgeranyltransferase component A 2 (Choroideremia-like protein) (Rab escort protein 2) (REP-2)	Josephin-1 (EC 3.4.19.12) (Josephin domain-containing protein 1)
CHMP2A	CHMP5	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (SNF7 domain-containing protein 2) (Vacuolar protein sorting-associated protein 60) (Vps60) (hVps60)
CHN1	SH3GL2	N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)	Endophilin-A1 (EEN-B1) (Endophilin-1) (SH3 domain protein 2A) (SH3 domain-containing GRB2-like protein 2)
CHP1	CHP1	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)
CHRDL1	F2RL2	Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin)	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)
CHRFAM7A	VANGL2	CHRNA7-FAM7A fusion protein (CHRNA7-DR1) (D-10)	Vang-like protein 2 (Loop-tail protein 1 homolog) (Strabismus 1) (Van Gogh-like protein 2)
CHRNA7	TMEM200C	Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7)	Transmembrane protein 200C (Transmembrane protein TTMA) (Two transmembrane domain-containing family member A)
CHRNB1	NACC1	Acetylcholine receptor subunit beta	Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B)
CHSY1	MKNK1	Chondroitin sulfate synthase 1 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 1) (Chondroitin synthase 1) (ChSy-1) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1) (N-acetylgalactosaminyltransferase 1)	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)
CHSY3	CHSY3	Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3)	Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3)
CHTOP	SMIM7	Chromatin target of PRMT1 protein (Friend of PRMT1 protein) (Small arginine- and glycine-rich protein) (SRAG)	Small integral membrane protein 7
CHUK	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK-1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)
CIC	PBX2	Protein capicua homolog	Pre-B-cell leukemia transcription factor 2 (Homeobox protein PBX2) (Protein G17)
CISH	SOCS2	Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS)	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2)
CITED2	HNRNPA0	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj)	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)
CIZ1	PLEKHH3	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	Pleckstrin homology domain-containing family H member 3 (PH domain-containing family H member 3)
CKLF	CKLF	Chemokine-like factor (C32)	Chemokine-like factor (C32)
CKM	MYL3	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK)	Myosin light chain 3 (Cardiac myosin light chain 1) (CMLC1) (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB) (Ventricular myosin alkali light chain) (Ventricular myosin light chain 1) (VLCl) (Ventricular/slow twitch myosin alkali light chain) (MLC-lV/sb)
CKS2	MAD2L1	Cyclin-dependent kinases regulatory subunit 2 (CKS-2)	Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1)
CLC	CLC	Galectin-10 (Gal-10) (Charcot-Leyden crystal protein) (CLC) (Eosinophil lysophospholipase) (Lysolecithin acylhydrolase)	Galectin-10 (Gal-10) (Charcot-Leyden crystal protein) (CLC) (Eosinophil lysophospholipase) (Lysolecithin acylhydrolase)
CLCNKA	CLCNKB	Chloride channel protein ClC-Ka (Chloride channel Ka) (ClC-K1)	Chloride channel protein ClC-Kb (Chloride channel Kb) (ClC-K2)
CLDN11	PTGIS	Claudin-11 (Oligodendrocyte-specific protein)	Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase)
CLDN12	LRRC8D	Claudin-12	Volume-regulated anion channel subunit LRRC8D (Leucine-rich repeat-containing protein 5) (Leucine-rich repeat-containing protein 8D) (HsLRRC8D)
CLDN15	TM4SF5	Claudin-15	Transmembrane 4 L6 family member 5 (Tetraspan transmembrane protein L6H)
CLDN3	CLDN4	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE-R) (CPE-receptor) (Williams-Beuren syndrome chromosomal region 8 protein)
CLDN5	ESAM	Claudin-5 (Transmembrane protein deleted in VCFS) (TMDVCF)	Endothelial cell-selective adhesion molecule
CLDND1	FAM107B	Claudin domain-containing protein 1 (Claudin-25) (Membrane protein GENX-3745)	Protein FAM107B
CLDND2	ZNF787	Claudin domain-containing protein 2	Zinc finger protein 787 (TTF-I-interacting peptide 20)
CLEC12B	OR51I1	C-type lectin domain family 12 member B (Macrophage antigen H)	Olfactory receptor 51I1 (Odorant receptor HOR5'beta11) (Olfactory receptor OR11-39)
CLEC17A	TLR10	C-type lectin domain family 17, member A (Prolectin)	Toll-like receptor 10 (CD antigen CD290)
CLEC18A	CLEC18B	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)	C-type lectin domain family 18 member B (Mannose receptor-like protein 1)
CLEC2D	TRAF3IP3	C-type lectin domain family 2 member D (Lectin-like NK cell receptor) (Lectin-like transcript 1) (LLT-1) (Osteoclast inhibitory lectin)	TRAF3-interacting JNK-activating modulator (TRAF3-interacting protein 3)
CLEC4C	SCT	C-type lectin domain family 4 member C (Blood dendritic cell antigen 2) (BDCA-2) (C-type lectin superfamily member 7) (Dendritic lectin) (CD antigen CD303)	Secretin
CLEC4F	CRIP3	C-type lectin domain family 4 member F (C-type lectin superfamily member 13) (C-type lectin 13)	Cysteine-rich protein 3 (CRP-3) (Chromosome 6 LIM domain only protein) (h6LIMo)
CLNS1A	WDR77	Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)	Methylosome protein WDR77 (Androgen receptor cofactor p44) (Methylosome protein 50) (MEP-50) (WD repeat-containing protein 77) (p44/Mep50)
CLOCK	RFX7	Circadian locomoter output cycles protein kaput (hCLOCK) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 8) (bHLHe8)	DNA-binding protein RFX7 (Regulatory factor X 7) (Regulatory factor X domain-containing protein 2)
CLP1	CLP1	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)
CLPP	NOSIP	ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Caseinolytic mitochondrial matrix peptidase proteolytic subunit) (Endopeptidase Clp)	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)
CLTA	PTTG1IP	Clathrin light chain A (Lca)	Pituitary tumor-transforming gene 1 protein-interacting protein (Pituitary tumor-transforming gene protein-binding factor) (PBF) (PTTG-binding factor)
CLTB	FBXL15	Clathrin light chain B (Lcb)	F-box/LRR-repeat protein 15 (F-box only protein 37)
CLTC	USP14	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)
CLUAP1	IFT46	Clusterin-associated protein 1 (Qilin)	Intraflagellar transport protein 46 homolog
CMA1	CTSG	Chymase (EC 3.4.21.39) (Alpha-chymase) (Mast cell protease I)	Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]
CMC4	OR52N5	Cx9C motif-containing protein 4 (Mature T-cell proliferation 1 neighbor protein) (Mature T-cell proliferation-1 type A) (MTCP-1 type A) (Protein p8 MTCP-1) (p8MTCP1)	Olfactory receptor 52N5 (Olfactory receptor OR11-62)
CMTM7	RCSD1	CKLF-like MARVEL transmembrane domain-containing protein 7 (Chemokine-like factor superfamily member 7)	CapZ-interacting protein (Protein kinase substrate CapZIP) (RCSD domain-containing protein 1)
CNIH2	SYT5	Protein cornichon homolog 2 (CNIH-2) (Cornichon family AMPA receptor auxiliary protein 2) (Cornichon-like protein)	Synaptotagmin-5 (Synaptotagmin V) (SytV)
CNOT1	CNOT7	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (BTG1-binding factor 1) (CCR4-associated factor 1) (CAF-1) (Caf1a)
CNOT10	CNOT11	CCR4-NOT transcription complex subunit 10	CCR4-NOT transcription complex subunit 11
CNPPD1	LENG1	Protein CNPPD1 (Cyclin Pas1/PHO80 domain-containing protein 1)	Leukocyte receptor cluster member 1
CNTFR	VIT	Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha)	Vitrin
CNTN2	TF	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)
CNTNAP1	SEMA6B	Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)	Semaphorin-6B (Semaphorin-Z) (Sema Z)
CNTNAP3	CNTNAP3B	Contactin-associated protein-like 3 (Cell recognition molecule Caspr3)	Contactin-associated protein-like 3B (Cell recognition molecule Caspr3b)
COA3	TMEM141	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial (Coiled-coil domain-containing protein 56) (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 12 kDa)	Transmembrane protein 141
COG2	COG4	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	Conserved oligomeric Golgi complex subunit 4 (COG complex subunit 4) (Component of oligomeric Golgi complex 4)
COG3	PPP2R2D	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Vesicle-docking protein SEC34 homolog) (p94)	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform (PP2A subunit B isoform B55-delta) (PP2A subunit B isoform PR55-delta) (PP2A subunit B isoform R2-delta) (PP2A subunit B isoform delta)
COL10A1	DLEU7	Collagen alpha-1(X) chain	Leukemia-associated protein 7 (Deleted in lymphocytic leukemia 7)
COL15A1	HSPG2	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]
COL1A1	COL6A2	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	Collagen alpha-2(VI) chain
COL3A1	PCOLCE	Collagen alpha-1(III) chain	Procollagen C-endopeptidase enhancer 1 (Procollagen COOH-terminal proteinase enhancer 1) (PCPE-1) (Procollagen C-proteinase enhancer 1) (Type 1 procollagen C-proteinase enhancer protein) (Type I procollagen COOH-terminal proteinase enhancer)
COL4A1	COL4A2	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]
COL4A3	COL4A4	Collagen alpha-3(IV) chain (Goodpasture antigen) [Cleaved into: Tumstatin]	Collagen alpha-4(IV) chain
COL4A5	SLN	Collagen alpha-5(IV) chain	Sarcolipin
COL5A1	COL5A2	Collagen alpha-1(V) chain	Collagen alpha-2(V) chain
COL8A1	COL8A2	Collagen alpha-1(VIII) chain (Endothelial collagen) [Cleaved into: Vastatin]	Collagen alpha-2(VIII) chain (Endothelial collagen)
COL9A2	COL9A3	Collagen alpha-2(IX) chain	Collagen alpha-3(IX) chain
COLEC10	COLEC11	Collectin-10 (Collectin liver protein 1) (CL-L1) (Collectin-34) (CL-34)	Collectin-11 (Collectin kidney protein 1) (CL-K1)
COLGALT1	UPP1	Procollagen galactosyltransferase 1 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 1) (ColGalT 1) (Glycosyltransferase 25 family member 1) (Hydroxylysine galactosyltransferase 1)	Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3)
COMMD10	COMMD2	COMM domain-containing protein 10	COMM domain-containing protein 2
COMMD3	COMMD8	COMM domain-containing protein 3 (Protein Bup) (Protein PIL)	COMM domain-containing protein 8
COMMD7	COMMD9	COMM domain-containing protein 7	COMM domain-containing protein 9
COPB1	COPB2	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)
COPRS	VEGFB	Coordinator of PRMT5 and differentiation stimulator (Cooperator of PRMT5) (Protein TTP1)	Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF)
COPS2	COPS5	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)
COPS3	COPS6	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3)	COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6) (JAB1-containing signalosome subunit 6) (MOV34 homolog) (Vpr-interacting protein) (hVIP)
COPS4	GPS1	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	COP9 signalosome complex subunit 1 (SGN1) (Signalosome subunit 1) (G protein pathway suppressor 1) (GPS-1) (JAB1-containing signalosome subunit 1) (Protein MFH)
COQ3	COQ5	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.-) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)
COX14	TMEM160	Cytochrome c oxidase assembly protein COX14	Transmembrane protein 160
COX4I2	NDUFA4L2	Cytochrome c oxidase subunit 4 isoform 2, mitochondrial (Cytochrome c oxidase subunit IV isoform 2) (COX IV-2)	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2 (NADH-ubiquinone oxidoreductase MLRQ subunit homolog) (NUOMS)
COX5A	VDAC1	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	Non-selective voltage-gated ion channel VDAC1 (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM) (Voltage-dependent anion-selective channel protein 1) (VDAC-1) (hVDAC1)
COX7A2L	MRPL42	Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)	Large ribosomal subunit protein mL42 (39S ribosomal protein L31, mitochondrial) (L31mt) (MRP-L31) (39S ribosomal protein L42, mitochondrial) (L42mt) (MRP-L42)
COX7B	UQCR11	Cytochrome c oxidase subunit 7B, mitochondrial (Cytochrome c oxidase polypeptide VIIb)	Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein)
COX7C	TOMM7	Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)
COX8A	PFN1	Cytochrome c oxidase subunit 8A, mitochondrial (Cytochrome c oxidase polypeptide VIII-liver/heart) (Cytochrome c oxidase subunit 8-2)	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)
CPA1	CPB1	Carboxypeptidase A1 (EC 3.4.17.1)	Carboxypeptidase B (EC 3.4.17.2) (Pancreas-specific protein) (PASP)
CPA3	CPA3	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)
CPEB1	EML2	Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (h-CPEB) (hCPEB-1)	Echinoderm microtubule-associated protein-like 2 (EMAP-2) (HuEMAP-2)
