Gene1	Gene2	Protein1	Protein2
DDX56	GTPBP4	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	GTP-binding protein 4 (Chronic renal failure gene protein) (GTP-binding protein NGB) (Nucleolar GTP-binding protein 1)
DEGS2	PHYHD1	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	Phytanoyl-CoA dioxygenase domain-containing protein 1 (Protein PHYHD1) (EC 1.14.11.-)
DERL3	TXNDC5	Derlin-3 (Degradation in endoplasmic reticulum protein 3) (DERtrin-3) (Der1-like protein 3)	Thioredoxin domain-containing protein 5 (EC 1.8.4.-) (EC 5.3.4.1) (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Thioredoxin-like protein p46)
DESI2	PPP2R5A	Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Palmitoyl protein thioesterase DESI2) (EC 3.1.2.22) (Protein FAM152A) (S-depalmitoylase DESI2)	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)
DHCR24	FASN	Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]
DHRS3	EVA1C	Short-chain dehydrogenase/reductase 3 (EC 1.1.1.300) (DD83.1) (Retinal short-chain dehydrogenase/reductase 1) (retSDR1) (Retinol dehydrogenase 17) (Short chain dehydrogenase/reductase family 16C member 1)	Protein eva-1 homolog C (Protein FAM176C) (SUE21)
DHX16	PPIL1	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16)	Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1)
DIAPH2	MAP3K5	Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2)	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)
DICER1	TARBP2	Endoribonuclease Dicer (EC 3.1.26.3) (Helicase with RNase motif) (Helicase MOI)	RISC-loading complex subunit TARBP2 (TAR RNA-binding protein 2) (Trans-activation-responsive RNA-binding protein)
DIP2A	PRMT2	Disco-interacting protein 2 homolog A (DIP2 homolog A) (EC 6.2.1.1)	Protein arginine N-methyltransferase 2 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT2)
DIRAS1	STX1B	GTP-binding protein Di-Ras1 (Distinct subgroup of the Ras family member 1) (Ras-related inhibitor of cell growth) (Rig) (Small GTP-binding tumor suppressor 1)	Syntaxin-1B (Syntaxin-1B1) (Syntaxin-1B2)
DKK1	OSR2	Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (hDkk-1) (SK)	Protein odd-skipped-related 2
DKK3	THY1	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3)	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)
DLAT	PDHX	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)
DLG3	DLG3	Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR)	Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR)
DLG4	DLG4	Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90)	Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90)
DMAP1	VPS72	DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1)	Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1) (Transcription factor-like 1)
DMC1	DMC1	Meiotic recombination protein DMC1/LIM15 homolog	Meiotic recombination protein DMC1/LIM15 homolog
DMP1	DMP1	Dentin matrix acidic phosphoprotein 1 (DMP-1) (Dentin matrix protein 1)	Dentin matrix acidic phosphoprotein 1 (DMP-1) (Dentin matrix protein 1)
DMWD	TBKBP1	Dystrophia myotonica WD repeat-containing protein (Dystrophia myotonica-containing WD repeat motif protein) (Protein 59) (Protein DMR-N9)	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)
DNAAF2	LRRC61	Protein kintoun (Dynein assembly factor 2, axonemal)	Leucine-rich repeat-containing protein 61
DNAH7	SPEF2	Dynein axonemal heavy chain 7 (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)	Sperm flagellar protein 2 (Protein KPL2)
DNAI2	VWA3B	Dynein axonemal intermediate chain 2 (Axonemal dynein intermediate chain 2)	von Willebrand factor A domain-containing protein 3B (VWA domain-containing protein 3B)
DNAJA1	HSPD1	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (Heat shock protein family D member 1) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)
DNAJB12	DUSP22	DnaJ homolog subfamily B member 12	Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK pathway associated phosphatase) (JKAP) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x)
DNAJB13	DYDC1	DnaJ homolog subfamily B member 13 (Testis and spermatogenesis cell-related protein 6) (Testis spermatocyte apoptosis-related gene 6 protein) (Testis spermatogenesis apoptosis-related gene 3 protein) (Testis spermatogenesis apoptosis-related gene 6 protein)	DPY30 domain-containing protein 1
DNAJB9	HERPUD1	DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1)	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)
DNAJC16	TRAPPC11	DnaJ homolog subfamily C member 16 (Endoplasmic reticulum DNA J domain-containing protein 8) (ER-resident protein ERdj8) (ERdj8)	Trafficking protein particle complex subunit 11
DNAJC5B	ZMYND15	DnaJ homolog subfamily C member 5B (Cysteine-string protein isoform beta) (CSP-beta)	Zinc finger MYND domain-containing protein 15
DNASE2	SDSL	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	Serine dehydratase-like (Cancerous serine dehydratase) (cSDH) (Glutamate racemase) (EC 5.1.1.3) (L-serine deaminase) (EC 4.3.1.17) (L-serine dehydratase/L-threonine deaminase) (SDHL) (L-threonine dehydratase) (TDH) (EC 4.3.1.19) (Serine dehydratase 2) (SDH 2)
DNLZ	LIN28A	DNL-type zinc finger protein (Hsp70-escort protein 1) (HEP1) (mtHsp70-escort protein)	Protein lin-28 homolog A (Lin-28A) (Zinc finger CCHC domain-containing protein 1)
DNMT3A	DNMT3L	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNA (cytosine-5)-methyltransferase 3-like
DOCK11	STAT5B	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)	Signal transducer and activator of transcription 5B
DOK1	DOK1	Docking protein 1 (Downstream of tyrosine kinase 1) (p62(dok)) (pp62)	Docking protein 1 (Downstream of tyrosine kinase 1) (p62(dok)) (pp62)
DPP10	LRP1B	Inactive dipeptidyl peptidase 10 (Dipeptidyl peptidase IV-related protein 3) (DPRP-3) (Dipeptidyl peptidase X) (DPP X) (Dipeptidyl peptidase-like protein 2) (DPL2)	Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)
DPP3	LPAR5	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)	Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93)
DPP6	NOVA1	A-type potassium channel modulatory protein DPP6 (DPPX) (Dipeptidyl aminopeptidase-like protein 6) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI)	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1)
DPP7	TMEM259	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	Membralin (Transmembrane protein 259)
DPP8	ZFX	Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8)	Zinc finger X-chromosomal protein
DPPA4	TRMT5	Developmental pluripotency-associated protein 4	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)
DPY19L1	EXTL3	Protein C-mannosyl-transferase DPY19L1 (EC 2.4.1.-) (Dpy-19-like protein 1) (Protein dpy-19 homolog 1)	Exostosin-like 3 (EC 2.4.1.223) (EXT-related protein 1) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Hereditary multiple exostoses gene isolog) (Multiple exostosis-like protein 3) (Putative tumor suppressor protein EXTL3)
DPY30	HCFC2	Protein dpy-30 homolog (Dpy-30-like protein) (Dpy-30L)	Host cell factor 2 (HCF-2) (C2 factor)
DPYSL2	SNX10	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2)	Sorting nexin-10
DRC1	FBXL13	Dynein regulatory complex protein 1 (Coiled-coil domain-containing protein 164)	F-box and leucine-rich repeat protein 13 (Dynein regulatory complex subunit 6) (F-box/LRR-repeat protein 13)
DSC1	DSC1	Desmocollin-1 (Cadherin family member 1) (Desmosomal glycoprotein 2/3) (DG2/DG3)	Desmocollin-1 (Cadherin family member 1) (Desmosomal glycoprotein 2/3) (DG2/DG3)
DSC3	DSC3	Desmocollin-3 (Cadherin family member 3) (Desmocollin-4) (HT-CP)	Desmocollin-3 (Cadherin family member 3) (Desmocollin-4) (HT-CP)
DUOX2	DUOXA2	Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase)	Dual oxidase maturation factor 2 (Dual oxidase activator 2)
DUSP1	PPP1R15A	Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)	Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog)
DUSP11	EIF2D	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)	Eukaryotic translation initiation factor 2D (eIF2d) (Hepatocellular carcinoma-associated antigen 56) (Ligatin)
DYNC2H1	DYNC2LI1	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)	Cytoplasmic dynein 2 light intermediate chain 1 (Dynein 2 light intermediate chain)
DYRK1B	POLR2J2	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	DNA-directed RNA polymerase II subunit RPB11-b1 (RNA polymerase II subunit B11-b1) (RPB11b1) (DNA-directed RNA polymerase II subunit J2)
E2F2	RAD51	Transcription factor E2F2 (E2F-2)	DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A)
EBF2	EBF3	Transcription factor COE2 (Early B-cell factor 2) (EBF-2)	Transcription factor COE3 (Early B-cell factor 3) (EBF-3) (Olf-1/EBF-like 2) (O/E-2) (OE-2)
EBI3	IL27	Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein)	Interleukin-27 subunit alpha (IL-27 subunit alpha) (IL-27-A) (IL27-A) (Interleukin-30) (p28)
EBP	FDPS	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Cholesterol-5,6-epoxide hydrolase subunit EBP) (EC 3.3.2.11) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)
EDF1	PARK7	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)
EEPD1	PRKCA	Endonuclease/exonuclease/phosphatase family domain-containing protein 1	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)
EFCAB12	ZNF526	EF-hand calcium-binding domain-containing protein 12	Zinc finger protein 526
EFCAB5	SPTBN2	EF-hand calcium-binding domain-containing protein 5	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)
EFHD1	SFRP5	EF-hand domain-containing protein D1 (EF-hand domain-containing protein 1) (Swiprosin-2)	Secreted frizzled-related protein 5 (sFRP-5) (Frizzled-related protein 1b) (FRP-1b) (Secreted apoptosis-related protein 3) (SARP-3)
EFTUD2	PRPF8	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)
EGFL7	RAMP2	Epidermal growth factor-like protein 7 (EGF-like protein 7) (Multiple epidermal growth factor-like domains protein 7) (Multiple EGF-like domains protein 7) (NOTCH4-like protein) (Vascular endothelial statin) (VE-statin) (Zneu1)	Receptor activity-modifying protein 2 (Calcitonin-receptor-like receptor activity-modifying protein 2) (CRLR activity-modifying protein 2)
EGFL8	MPZ	Epidermal growth factor-like protein 8 (EGF-like protein 8) (Vascular endothelial statin-2) (VE-statin-2)	Myelin protein P0 (Myelin peripheral protein) (MPP) (Myelin protein zero)
EHD1	MAP2K3	EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin)	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)
EHD2	EHD2	EH domain-containing protein 2 (PAST homolog 2)	EH domain-containing protein 2 (PAST homolog 2)
EHHADH	GPAM	Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-bifunctional protein) (LBP) (Multifunctional enzyme 1) (MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	Glycerol-3-phosphate acyltransferase 1, mitochondrial (GPAT-1) (EC 2.3.1.15)
EI24	POLDIP2	Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein)	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)
EIF2B2	EIF2B4	Translation initiation factor eIF2B subunit beta (S20I15) (S20III15) (eIF2B GDP-GTP exchange factor subunit beta)	Translation initiation factor eIF2B subunit delta (eIF2B GDP-GTP exchange factor subunit delta)
EIF2S3	RSL1D1	Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma X) (eIF2-gamma X) (eIF2gX)	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)
EIF3B	MAP2K2	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)
EIF3E	EIF3H	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)
EIF3F	EIF3L	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)
EIF4A1	EIF4G3	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)
EIF4E	EIF4G1	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)
EIF4E2	GIGYF2	Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (Eukaryotic translation initiation factor 4E homologous protein) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP) (mRNA cap-binding protein 4EHP) (h4EHP) (mRNA cap-binding protein type 3)	GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)
ELAVL3	NEUROD2	ELAV-like protein 3 (Hu-antigen C) (HuC) (Paraneoplastic cerebellar degeneration-associated antigen) (Paraneoplastic limbic encephalitis antigen 21)	Neurogenic differentiation factor 2 (NeuroD2) (Class A basic helix-loop-helix protein 1) (bHLHa1) (NeuroD-related factor) (NDRF)
ELF3	SDC4	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein)
ELOVL2	ELOVL2	Very long chain fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Elongation of very long chain fatty acids protein 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)	Very long chain fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Elongation of very long chain fatty acids protein 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)
