Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ODF2	"CT134, ODF84"	ENSG00000136811	"Outer dense fiber of sperm tails 2"	Q5BJF6	9	128455186-128501292	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	8	"testis: 308.7"	"Cell type enriched"	"Detected in many"	6	"Late spermatids: 8192.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Pituitary gland - Somatotropes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001874, HPA048841"	Enhanced		Supported	"Vesicles,Microtubules,Primary cilium,Centrosome,Basal body,Calyx,Connecting piece,Mid piece,Principal piece"			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 43: Non-specific - Basic cellular processes"	"Cluster 63: Late spermatids - Spermatogenesis"	10	"Primary cilium, Centrosome, Basal body, Connecting piece"	"Vesicles, Microtubules, Calyx, Mid piece, Principal piece"	"HPA001874: AB_1079522, HPA048841: AB_2680536"	"unprognostic (1.26e-1)"	"unprognostic (1.37e-1)"	"unprognostic (2.10e-1)"	"unprognostic (4.50e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.22e-2)"	"unprognostic (3.17e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.60e-3)"	"unprognostic (1.85e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.93e-3)"	"unprognostic (2.54e-2)"	"unprognostic (2.59e-2)"	"unprognostic (3.75e-3)"	"unprognostic (2.05e-1)"	"unprognostic (3.77e-2)"	"unprognostic (4.00e-1)"	"unprognostic (8.84e-2)"	"unprognostic (4.17e-2)"	"unprognostic (7.22e-2)"	"unprognostic (8.45e-3)"	"unprognostic (1.14e-1)"	"unprognostic (6.62e-2)"	"unprognostic (4.18e-2)"	"unprognostic (2.09e-2)"	"unprognostic (4.34e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.94e-2)"
ODF4	"CT136, OPPO1"	ENSG00000184650	"Outer dense fiber of sperm tails 4"	Q2M2E3	17	8339840-8346048	"Predicted membrane proteins"	"Differentiation, Spermatogenesis"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	127	"testis: 12.7"	"Group enriched"	"Detected in some"	13	"Early spermatids: 40.3;Late spermatids: 31.8;Spermatocytes: 38.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"					"Low region specificity"	"Detected in many"			HPA072129	Enhanced		Approved	"Principal piece"			NA	NA				"Cluster 10: Testis - Spermatid development"			"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	20	"Principal piece"		"HPA072129: "																															
OGFR	7-60	ENSG00000060491	"Opioid growth factor receptor"	Q9NZT2	20	62804835-62814000	"Predicted intracellular proteins"	"Growth regulation"	Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	4	"eosinophil: 12.5;neutrophil: 3.1"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 12.5"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA017899	Supported		Approved	Nucleoplasm			NA	NA		19000	"Cluster 19: Eosinophils - Unknown function"	"Cluster 47: Spleen - Immune response"	"Cluster 53: Neurons - Mixed function"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 58: Macrophages - Innate immune response"	2	Nucleoplasm		"HPA017899: AB_1854774"	"unprognostic (5.65e-2)"	"unprognostic (1.45e-1)"	"unprognostic (8.57e-2)"	"unprognostic (1.68e-1)"	"unprognostic (1.25e-1)"	"unprognostic (2.29e-1)"	"unprognostic (9.24e-2)"	"unprognostic (3.68e-2)"	"unprognostic (1.30e-1)"	"unprognostic (4.13e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.09e-1)"	"unprognostic (4.02e-2)"	"unprognostic (4.54e-3)"	"unprognostic (1.33e-1)"	"unprognostic (1.91e-1)"	"unprognostic (2.49e-1)"	"unprognostic (5.03e-2)"	"unprognostic (3.93e-2)"	"unprognostic (1.49e-1)"	"unprognostic (2.99e-3)"	"unprognostic (1.51e-2)"	"unprognostic (5.64e-2)"	"unprognostic (4.83e-2)"	"unprognostic (6.21e-2)"	"potential prognostic favorable (2.98e-4)"	"unprognostic (3.57e-2)"	"unprognostic (1.99e-2)"	"unprognostic (8.37e-2)"	"unprognostic (1.33e-1)"	"unprognostic (1.74e-1)"
OIP5	"CT86, hMIS18beta, MIS18B"	ENSG00000104147	"Opa interacting protein 5"	O43482	15	41309273-41332591	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 10.2;skeletal muscle: 9.9;testis: 20.3"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 47.7;Extravillous trophoblasts: 24.3;Oocytes: 91.9;Spermatocytes: 103.7;Spermatogonia: 48.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Lung - Mitotic cells (Lung), Minor Salivary Gland - Mitotic cells (Minor salivary gland), Skin - Mitotic cells (Skin), Spleen - Mitotic cells (Spleen), Stomach - Mitotic cells (Stomach), Testis - Early spermatids"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA052271, HPA059602"	Enhanced		Supported	"Nuclear speckles,Vesicles"			NA	Yes			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 25: Non-specific - Transcription"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	134	"Nuclear speckles"	Vesicles	"HPA052271: AB_2681780, HPA059602: AB_2684079"	"unprognostic (5.99e-3)"	"unprognostic (1.64e-2)"	"unprognostic (2.63e-1)"	"unprognostic (1.27e-1)"	"unprognostic (6.60e-2)"	"unprognostic (1.96e-1)"	"unprognostic (5.47e-2)"	"unprognostic (5.81e-3)"	"unprognostic (1.50e-1)"	"potential prognostic unfavorable (5.40e-4)"	"validated prognostic unfavorable (1.19e-4)"	"validated prognostic unfavorable (3.01e-4)"	"potential prognostic unfavorable (2.85e-6)"	"validated prognostic unfavorable (3.46e-4)"	"validated prognostic unfavorable (2.38e-8)"	"potential prognostic unfavorable (1.94e-5)"	"unprognostic (2.38e-3)"	"unprognostic (5.36e-3)"	"unprognostic (4.68e-2)"	"unprognostic (3.98e-2)"	"unprognostic (1.23e-1)"	"potential prognostic unfavorable (1.48e-4)"	"unprognostic (2.87e-2)"	"unprognostic (8.77e-3)"	"unprognostic (4.19e-2)"	"unprognostic (2.84e-1)"	"unprognostic (2.42e-2)"	"unprognostic (5.22e-2)"	"unprognostic (3.58e-1)"		"unprognostic (4.17e-2)"
OLAH	"FLJ11106, SAST, THEDC1"	ENSG00000152463	"Oleoyl-ACP hydrolase"	Q9NV23	10	15032227-15073853	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 8.7;testis: 26.1"	"Cell type enriched"	"Detected in some"	5	"Early spermatids: 737.3"	"Cell type enhanced"	"Detected in some"		"bergmann glia: 5.9;fibroblast: 6.9;pericyte: 8.9;vascular associated smooth muscle cell: 7.5"	"Cancer enriched"	"Detected in some"	4	"Testicular Germ Cell Tumor (TCGA): 8.3"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 2.6"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 2.6"	"Low cancer specificity"	"Detected in some"			"Adipose visceral - Neutrophils, Adrenal gland - Fibroblasts, Skin - Sebaceous gland cells, Spleen - Neutrophils, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA037947, HPA037948"	Enhanced						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 17: Breast glandular cells - Lactation"				"HPA037947: AB_10795028, HPA037948: AB_10805352"						"unprognostic (3.96e-1)"																	"unprognostic (3.67e-3)"			"unprognostic (2.23e-1)"			"unprognostic (1.81e-1)"	"unprognostic (1.33e-1)"	
OOSP2	"FLJ36198, OOSP2A, PLAC1L, TMEM122"	ENSG00000149507	"Oocyte secreted protein 2"	Q86WS3	11	60040409-60048044	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"testis: 17.4"	"Cell type enriched"	"Detected in some"	49	"Oocytes: 539.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Sertoli cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA050914	Enhanced				"Secreted in male reproductive system"	"No annotated function"	NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 20: Testis - Spermatogenesis"		"Cluster 65: Non-specific - Unknown function"	"Cluster 44: Oocytes - Unknown function"	2			"HPA050914: AB_2681271"																															
OPN1SW	"BCP, BOP, CBT"	ENSG00000128617	"Opsin 1, short wave sensitive"	P03999	7	128772485-128775794	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Sensory transduction, Vision"	"G-protein coupled receptor, Photoreceptor protein, Receptor, Retinal protein, Transducer"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	84	"retina: 39.7"	"Cell type enriched"	"Detected in some"	20	"Cone photoreceptor cells: 85.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Endothelial cells, Prostate - Smooth muscle cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA013562, HPA014083"	Enhanced						NA	NA				"Cluster 76: Retina - Visual perception"	"Cluster 48: Non-specific - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 66: Photoreceptor cells - Visual perception"				"HPA013562: AB_2668850, HPA014083: AB_2668938"								"unprognostic (7.37e-2)"							"unprognostic (1.87e-2)"																
OPRPN	"BPLP, PRL1, PROL1"	ENSG00000171199	"Opiorphin prepropeptide"	Q99935	4	70397931-70410195	"Predicted secreted proteins"		"Protease inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"salivary gland: 142.3"	"Group enriched"	"Detected in some"	7	"Breast glandular cells: 11.0;Serous glandular cells: 21.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Breast Invasive Carcinoma (TCGA): 11.9;Liver Hepatocellular Carcinoma (TCGA): 7.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skin - Eccrine sweat gland cells, Testis - Late spermatids"									HPA065711	Approved				"Secreted in other tissues"	"Enzyme inhibitor"	NA	NA		46000		"Cluster 38: Salivary gland - Salivary secretion"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 75: Serous glandular cells - Salivary secretion"	3			"HPA065711: AB_2685541"		"unprognostic (7.95e-3)"												"unprognostic (1.29e-1)"																	
OTUD6A	"DUBA2, FLJ25831, HSHIN6"	ENSG00000189401	"OTU deubiquitinase 6A"	Q7L8S5	X	70062457-70064179	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	"Hydrolase, Protease, Thiol protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	7	"testis: 4.6"	"Cell type enriched"	"Detected in some"	5	"Spermatocytes: 71.0"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"Testicular Germ Cell Tumor (TCGA): 4.5"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 1.1"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 1.1"	"Not detected"	"Not detected"			"Testis - Spermatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA053304	Enhanced		Approved	Vesicles,Cytosol			NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 48: Non-specific - Mixed function"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"	9	Cytosol	Vesicles	"HPA053304: AB_2682107"																										"unprognostic (2.24e-2)"			"unprognostic (1.50e-1)"		
OXCT1	"OXCT, SCOT"	ENSG00000083720	"3-oxoacid CoA-transferase 1"	P55809	5	41730065-41870425	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Lipid metabolism"	Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 237.3"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 305.6;Distal tubular cells: 224.4"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in all"	6	"Kidney Chromophobe (TCGA): 190.7"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA012047, HPA061425"	Enhanced		Enhanced	Mitochondria			NA	NA		610000	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 30: Heart muscle - Heart development"	"Cluster 14: Neurons - Synaptic function"	"Cluster 29: Non-specific - Unknown function"	"Cluster 68: Cardiomyocytes - Muscle contraction"	10	Mitochondria		"HPA012047: AB_1854857, HPA061425: AB_2684515"	"unprognostic (1.48e-1)"	"unprognostic (5.54e-2)"	"unprognostic (7.97e-2)"	"unprognostic (1.18e-2)"	"unprognostic (1.31e-1)"	"unprognostic (5.66e-3)"	"unprognostic (1.91e-1)"	"unprognostic (3.80e-2)"	"unprognostic (7.03e-2)"	"unprognostic (2.94e-1)"	"potential prognostic favorable (5.36e-6)"	"unprognostic (9.09e-3)"	"unprognostic (2.71e-2)"	"potential prognostic unfavorable (3.00e-4)"	"unprognostic (8.96e-2)"	"unprognostic (1.13e-1)"	"unprognostic (2.59e-2)"	"unprognostic (5.34e-2)"	"unprognostic (2.84e-2)"	"unprognostic (1.82e-1)"	"unprognostic (2.32e-1)"	"unprognostic (6.39e-3)"	"unprognostic (3.67e-1)"	"unprognostic (1.56e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.69e-1)"	"potential prognostic unfavorable (3.18e-5)"	"unprognostic (9.33e-2)"	"unprognostic (6.18e-2)"	"potential prognostic unfavorable (3.23e-4)"	"unprognostic (9.36e-2)"
OXSR1	"KIAA1101, OSR1"	ENSG00000172939	"Oxidative stress responsive kinase 1"	O95747	3	38165089-38255484	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 146.8;Schwann cells: 121.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"							"HPA008237, CAB017181"	Supported		Supported	Cytosol			NA	NA		230000	"Cluster 25: Non-specific - Unknown function"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 29: Monocytes - Innate immune response"	58	Cytosol		"CAB017181: , HPA008237: AB_1079540"	"unprognostic (1.36e-2)"	"unprognostic (1.81e-1)"	"unprognostic (2.92e-1)"	"unprognostic (6.34e-3)"	"unprognostic (2.55e-1)"	"unprognostic (3.99e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.04e-1)"	"unprognostic (3.39e-2)"	"potential prognostic unfavorable (2.35e-4)"	"potential prognostic favorable (7.65e-6)"	"unprognostic (8.62e-3)"	"unprognostic (7.61e-2)"	"unprognostic (1.10e-3)"	"unprognostic (1.24e-3)"	"unprognostic (8.37e-2)"	"potential prognostic unfavorable (5.56e-4)"	"unprognostic (9.74e-2)"	"unprognostic (9.21e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.82e-2)"	"unprognostic (5.83e-3)"	"unprognostic (1.79e-2)"	"unprognostic (2.41e-3)"	"unprognostic (5.76e-2)"	"unprognostic (1.06e-2)"	"unprognostic (3.29e-1)"	"unprognostic (2.62e-1)"	"unprognostic (2.02e-1)"	"unprognostic (6.48e-2)"	"unprognostic (2.17e-2)"
P2RX6	"MGC129625, P2RXL1, P2X6, P2XM"	ENSG00000099957	"Purinergic receptor P2X 6"	O15547	22	21009808-21028013	"Predicted membrane proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"skeletal muscle: 25.1;tongue: 11.4"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 7.1;Excitatory neurons: 8.6;Horizontal cells: 10.7;Inhibitory neurons: 7.6;Oligodendrocyte precursor cells: 4.7;Skeletal myocytes: 5.9"	"Cell type enhanced"	"Detected in many"		"mammillary body: 26.5"	"Cancer enhanced"	"Detected in single"		"Skin Cuteneous Melanoma (TCGA): 1.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"skin cancer: 5.3"	"Liver - Hepatic stellate cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA028776, HPA028777"	Approved		Approved	Nucleoli,Cytosol			NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 24: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 50: Connective tissue cells - ECM organization"	40	"Nucleoli, Cytosol"		"HPA028776: AB_2672771, HPA028777: AB_2672772"			"unprognostic (3.70e-2)"					"unprognostic (3.57e-3)"																			"unprognostic (8.05e-2)"				
PABIR2	"DKFZp686L20116, FAM122B, RP11-308B5.5"	ENSG00000156504	"PABIR family member 2"	Q7Z309	X	134769566-134797232	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Erythroid cells: 51.9;Granulosa cells: 69.3;Sertoli cells: 51.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA000266	Enhanced		Approved	Nucleoplasm			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 7: Non-specific - Ribosome"	"Cluster 36: Non-specific - mRNA processing"	"Cluster 1: Erythroid cells - Oxygen transport"	10	Nucleoplasm		"HPA000266: AB_1078801"	"unprognostic (1.30e-1)"	"potential prognostic unfavorable (4.25e-4)"	"unprognostic (2.95e-1)"	"unprognostic (5.77e-2)"	"unprognostic (1.02e-2)"	"unprognostic (3.68e-1)"	"unprognostic (3.03e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.34e-1)"	"unprognostic (2.94e-3)"	"unprognostic (9.67e-2)"	"unprognostic (3.02e-1)"	"unprognostic (2.65e-2)"	"unprognostic (3.94e-3)"	"unprognostic (3.83e-3)"	"unprognostic (1.94e-1)"	"unprognostic (4.30e-3)"	"unprognostic (1.24e-1)"	"unprognostic (2.31e-1)"	"unprognostic (6.09e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.45e-1)"	"potential prognostic unfavorable (3.70e-4)"	"unprognostic (2.94e-2)"	"unprognostic (1.40e-2)"	"unprognostic (1.33e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.15e-1)"	"unprognostic (4.42e-2)"	"unprognostic (8.34e-2)"	"unprognostic (2.13e-2)"
